  0.078333333  0.061666667  0.051666667      16
       1      75    0.935131932   -0.074038210
       1      76    1.071542288    0.126352895
       1      77    1.082985043    0.087091964
       1      78    1.087022551    0.109888731
       1      79    1.106999833    0.135493138
       1      80    1.174647850    0.158817896
       1      81    1.244413817    0.488863897
       1      82    1.337361450    0.531599506
       1      83    5.908812355    6.959172139
       1      84    5.981120257    7.065148557
       1      85    6.224796761    7.305215336
       1      86    6.293577560    7.415743739
       1      87    6.738555326    8.037237396
       1      88    7.084112736    8.707183008
       1      89    7.338703863    9.079402679
       1      90    7.478536930    8.771557269
  0.078333333  0.061666667  0.218333333      16
       1      75    0.976677753   -0.032151245
       1      76    1.001216115    0.004443827
       1      77    1.031761247    0.039452887
       1      78    1.118022660    0.188026477
       1      79    1.133328799    0.160758467
       1      80    1.175437028    0.154633433
       1      81    1.324251920    0.587880162
       1      82    1.413048474    0.695179371
       1      83    5.825289491    6.832329773
       1      84    5.957170208    7.005122948
       1      85    6.096897754    7.122983109
       1      86    6.188711607    7.282227867
       1      87    6.821587411    8.284502910
       1      88    6.942227830    8.086261815
       1      89    7.038561324    8.194872465
       1      90    7.250838234    8.864564063
  0.078333333  0.061666667  0.385000000      16
       1      75    0.915585875   -0.081739781
       1      76    0.995617262   -0.017495632
       1      77    1.016921359    0.036498925
       1      78    1.087816857    0.107026366
       1      79    1.152926102    0.182299169
       1      80    1.161847520    0.151189163
       1      81    1.499502928    0.794077845
       1      82    1.620229065    0.952810101
       1      83    5.284771669    6.227662599
       1      84    5.502155543    6.466899306
       1      85    5.899954274    6.953906323
       1      86    5.976219274    7.042443252
       1      87    6.022925662    7.101377679
       1      88    6.243068376    7.338301973
       1      89    7.157452294    8.822631773
       1      90    7.559383353    9.098974044
  0.078333333  0.061666667 -0.448333333      16
       1      75    0.926059011   -0.064850043
       1      76    0.999964105   -0.033432407
       1      77    1.015388275    0.064602487
       1      78    1.065391314    0.073127606
       1      79    1.135780062    0.099455211
       1      80    1.157587939    0.142450537
       1      81    1.791288593    1.232750624
       1      82    1.849932881    1.290402525
       1      83    4.593856036    5.381981629
       1      84    4.623677065    5.417520117
       1      85    5.873420214    6.900928185
       1      86    5.948604483    6.993388285
       1      87    5.957018665    7.024551188
       1      88    5.968496416    7.014008488
       1      89    7.389565456    9.241865233
       1      90    7.635111074    9.580907823
  0.078333333  0.061666667 -0.281666667      16
       1      75    0.911346410   -0.086987089
       1      76    0.961845639   -0.046827676
       1      77    1.024545578    0.030684987
       1      78    1.095870179    0.168403785
       1      79    1.167875673    0.193657197
       1      80    1.171058754    0.150256896
       1      81    1.572496573    0.842095145
       1      82    1.641640636    0.926443468
       1      83    5.128650253    6.133779183
       1      84    5.377891874    6.431682799
       1      85    5.878785562    6.926334524
       1      86    5.961820867    7.053989308
       1      87    6.017385545    7.110027598
       1      88    6.186687216    7.309968622
       1      89    7.307345023    8.800836373
       1      90    7.490746600    9.109896451
  0.078333333  0.061666667 -0.115000000      16
       1      75    0.948049460   -0.035583123
       1      76    0.986482822    0.009900304
       1      77    1.023971829    0.034054372
       1      78    1.120770895    0.182645530
       1      79    1.151612570    0.189719958
       1      80    1.181720396    0.174443660
       1      81    1.372110481    0.624048622
       1      82    1.417893553    0.635559197
       1      83    5.829228459    6.862804708
       1      84    5.932161775    7.000270617
       1      85    5.999541445    7.045964064
       1      86    6.180417516    7.272539554
       1      87    6.855884098    8.016138768
       1      88    6.927093785    8.173198038
       1      89    6.944915295    8.258556593
       1      90    7.186205569    8.935144470
  0.078333333  0.228333333  0.051666667      16
       1      75    0.946193873   -0.063196333
       1      76    0.995973952    0.026290799
       1      77    1.022734272    0.022685541
       1      78    1.117049593    0.186128658
       1      79    1.134234540    0.171088630
       1      80    1.179671562    0.168444087
       1      81    1.383823079    0.651975650
       1      82    1.426331955    0.682992405
       1      83    5.819961455    6.837197681
       1      84    5.918726277    6.960248020
       1      85    6.019259464    7.048686868
       1      86    6.167349053    7.247527491
       1      87    6.848797944    7.977739152
       1      88    6.920265767    8.124161684
       1      89    6.966045560    8.365240053
       1      90    7.219453311    8.920153228
  0.078333333  0.228333333  0.218333333      16
       1      75    0.962467653   -0.035244153
       1      76    1.056479807    0.084248120
       1      77    1.065358857    0.100374488
       1      78    1.079338968    0.098828368
       1      79    1.120722598    0.161467362
       1      80    1.168442637    0.163330836
       1      81    1.274591235    0.494274507
       1      82    1.344208351    0.558385222
       1      83    5.865074774    6.878263508
       1      84    5.997999324    7.065846787
       1      85    6.210356957    7.293364079
       1      86    6.313475546    7.435967671
       1      87    6.716571217    8.068815669
       1      88    7.155611600    8.772213853
       1      89    7.318020912    9.006884482
       1      90    7.474860584    8.771089525
  0.078333333  0.228333333  0.385000000      16
       1      75    0.995426452   -0.006289842
       1      76    1.006411246    0.003903491
       1      77    1.034269149    0.043664106
       1      78    1.089499488    0.090882584
       1      79    1.114698207    0.167312114
       1      80    1.168741137    0.162316679
       1      81    1.327478820    0.568137852
       1      82    1.428096611    0.709836535
       1      83    5.804475523    6.788565624
       1      84    5.978382367    7.032611917
       1      85    6.097832528    7.157163564
       1      86    6.190741103    7.271249182
       1      87    6.798342398    8.341630623
       1      88    6.942568999    8.106008414
       1      89    7.014261529    8.213733218
       1      90    7.355131362    8.942806399
  0.078333333  0.228333333  0.551666667      16
       1      75    0.915524190   -0.097570462
       1      76    0.994629984   -0.004352111
       1      77    1.038347607    0.032541174
       1      78    1.072896796    0.084663576
       1      79    1.131380374    0.164528386
       1      80    1.151825374    0.144674554
       1      81    1.497257223    0.756484511
