# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      75     0.02959     0.07899     0.18904    0.908453394   -0.079898331   -0.988351724
     1      75     0.06754     0.07899     0.09727    0.966895563   -0.035555063   -1.002450627
     1      75     0.10548     0.04138     0.09727    0.985047668   -0.022032440   -1.007080109
     1      75     0.14342     0.04138     0.00551    0.988922194   -0.024745471   -1.013667665
     1      75     0.18136     0.04138    -0.08626    0.931943738   -0.095595102   -1.027538841
     1      75    -0.00835    -0.18431    -0.17803    0.902638338   -0.082859341   -0.985497679
     1      75     0.02959     0.04138     0.28081    0.971561712   -0.009409891   -0.980971602
     1      75     0.06754     0.04138     0.18904    0.910860037   -0.076106064   -0.986966101
     1      75     0.10548     0.00376     0.18904    0.910670901   -0.079130809   -0.989801710
     1      75     0.14342     0.00376     0.09727    0.974072489   -0.055711506   -1.029783995
     1      75     0.18136     0.00376     0.00551    0.955753760   -0.064701029   -1.020454789
     1      75     0.21930     0.00376    -0.08626    0.897724032   -0.151851380   -1.049575412
     1      75    -0.19806     0.00376    -0.17803    0.908709010   -0.121112730   -1.029821740
     1      75     0.06754     0.00376     0.28081    0.939759150   -0.046065074   -0.985824223
     1      75    -0.12217    -0.03385    -0.26980    0.918204675   -0.067343831   -0.985548505
     1      75     0.14342    -0.03385     0.18904    0.911987300   -0.095124835   -1.007112135
     1      75     0.18136    -0.03385     0.09727    0.933037706   -0.099373817   -1.032411523
     1      75    -0.00835     0.19184     0.00551    0.883327675   -0.163020695   -1.046348370
     1      75     0.02959     0.19184    -0.08626    0.911917781   -0.133089653   -1.045007434
     1      75    -0.16011    -0.03385    -0.17803    0.913599995   -0.112816504   -1.026416500
     1      75    -0.12217    -0.07147    -0.17803    0.911972794   -0.092392490   -1.004365284
     1      75    -0.08423    -0.07147    -0.26980    0.933159523   -0.054844277   -0.988003800
     1      75    -0.04629     0.15422     0.18904    0.907096419   -0.081369456   -0.988465875
     1      75    -0.00835     0.15422     0.09727    0.906654437   -0.053926334   -0.960580771
     1      75     0.02959     0.15422     0.00551    0.885902527   -0.123528422   -1.009430949
     1      75     0.06754     0.15422    -0.08626    0.937130965   -0.076747466   -1.013878430
     1      75     0.10548     0.11661    -0.08626    0.945002744   -0.031608018   -0.976610762
     1      75    -0.08423    -0.10908    -0.17803    0.905879116   -0.069901910   -0.975781027
     1      75    -0.04629    -0.10908    -0.26980    0.955972762   -0.031951020   -0.987923783
     1      75    -0.00835     0.11661     0.18904    0.904981802   -0.064235688   -0.969217489
     1      75     0.02959     0.11661     0.09727    0.943187035   -0.050401897   -0.993588932
     1      75     0.06754     0.11661     0.00551    0.930282991   -0.072816861   -1.003099852
     1      75    -0.08423    -0.10908     0.00551    0.944750953   -0.039163793   -0.983914746
     1      75    -0.04629    -0.10908    -0.08626    0.946984632   -0.053513702   -1.000498335
     1      75    -0.00835    -0.10908    -0.17803    0.907354928   -0.075808089   -0.983163017
     1      75     0.02959    -0.10908    -0.26980    0.960265859   -0.017338388   -0.977604247
     1      75     0.06754     0.11661     0.18904    0.905029766   -0.069860491   -0.974890256
     1      75     0.10548     0.11661     0.09727    0.938415953   -0.043875448   -0.982291401
     1      75     0.14342     0.07899     0.09727    0.942552663   -0.060029714   -1.002582378
     1      75    -0.04629    -0.14670     0.00551    0.904712345   -0.116154768   -1.020867113
     1      75    -0.00835    -0.14670    -0.08626    0.912164157   -0.049029053   -0.961193210
     1      75     0.02959    -0.14670    -0.17803    0.901918741   -0.070457084   -0.972375825
     1      75     0.06754     0.07899     0.28081    0.944397226   -0.041391807   -0.985789033
     1      75     0.10548     0.07899     0.18904    0.909190620   -0.090467418   -0.999658038
     1      75     0.14342     0.04138     0.18904    0.911703748   -0.086640944   -0.998344691
     1      75     0.18136     0.04138     0.09727    0.929158936   -0.100515954   -1.029674891
     1      75    -0.00835    -0.18431     0.00551    0.874775302   -0.173167499   -1.047942801
     1      75     0.02959    -0.18431    -0.08626    0.907079379   -0.138377667   -1.045457046
     1      75    -0.16011     0.04138    -0.17803    0.912582290   -0.109311112   -1.021893401
     1      75    -0.12217     0.04138    -0.26980    0.919624357   -0.066251718   -0.985876075
     1      75    -0.08423     0.00376    -0.26980    0.925805981   -0.065667220   -0.991473202
     1      75     0.18136     0.00376     0.18904    0.914325912   -0.125891273   -1.040217186
     1      75     0.21930     0.00376     0.09727    0.895705622   -0.159658451   -1.055364073
     1      75    -0.19806     0.00376     0.00551    0.928295646   -0.114555794   -1.042851440
     1      75    -0.16011     0.00376    -0.08626    0.968374096   -0.070587174   -1.038961270
     1      75    -0.12217     0.00376    -0.17803    0.916540352   -0.081445421   -0.997985774
     1      75    -0.08423    -0.03385    -0.17803    0.915154548   -0.086461935   -1.001616483
     1      75    -0.04629    -0.03385    -0.26980    0.954170457   -0.030973937   -0.985144393
     1      75    -0.00835     0.19184     0.18904    0.914414153   -0.074155148   -0.988569301
     1      75     0.02959     0.19184     0.09727    0.910328343   -0.135925138   -1.046253482
     1      75    -0.16011    -0.03385     0.00551    0.974621694   -0.055379310   -1.030001004
     1      75    -0.12217    -0.03385    -0.08626    0.989884676   -0.010910942   -1.000795618
     1      75    -0.08423    -0.07147    -0.08626    0.977585947   -0.022171112   -0.999757060
     1      75    -0.04629    -0.07147    -0.17803    0.912849800   -0.062915935   -0.975765735
     1      75    -0.00835    -0.07147    -0.26980    0.965862070   -0.006494173   -0.972356244
     1      75     0.02959     0.15422     0.18904    0.906920154   -0.074572603   -0.981492757
