# k =   0.500000   0.750000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.39484624E+00  -6.90922530E+00   4.85620938E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.42188518E-01   7.50443808E-01  -1.91744709E-01
#    Nb          CH(vbm)          CH(cbm)             diff
     91  -5.01481957E+00  -4.81222643E+00   2.02593140E-01
     92  -5.02675086E+00  -4.82936994E+00   1.97380920E-01
     93  -5.04291631E+00  -4.84671963E+00   1.96196677E-01
     94  -5.05653630E+00  -4.86443546E+00   1.92100846E-01
     95  -5.06988382E+00  -4.87974989E+00   1.90133923E-01
     96  -5.08325572E+00  -4.90035033E+00   1.82905395E-01
     97  -5.10158702E+00  -4.91311192E+00   1.88475099E-01
     98  -5.11697574E+00  -4.92497450E+00   1.92001239E-01
     99  -5.12876259E+00  -4.93254880E+00   1.96213789E-01
    100  -5.14242099E+00  -4.94215625E+00   2.00264740E-01
    101  -5.16138868E+00  -4.95278949E+00   2.08599192E-01
    102  -5.17425119E+00  -4.96391758E+00   2.10333607E-01
    103  -5.18634549E+00  -4.97357743E+00   2.12768050E-01
    104  -5.19890742E+00  -4.98206894E+00   2.16838477E-01
    105  -5.20942405E+00  -4.99067112E+00   2.18752933E-01
    106  -5.22038548E+00  -4.99928774E+00   2.21097746E-01
    107  -5.23335857E+00  -5.01000308E+00   2.23355499E-01
    108  -5.24770801E+00  -5.01881154E+00   2.28896470E-01
    109  -5.26290664E+00  -5.02648151E+00   2.36425135E-01
    110  -5.27984811E+00  -5.03362689E+00   2.46221219E-01
    111  -5.29732643E+00  -5.04121718E+00   2.56109250E-01
    112  -5.30891707E+00  -5.04782096E+00   2.61096112E-01
    113  -5.31745627E+00  -5.05416414E+00   2.63292134E-01
    114  -5.32627830E+00  -5.06173486E+00   2.64543443E-01
    115  -5.33528694E+00  -5.06986827E+00   2.65418673E-01
    116  -5.34429298E+00  -5.07645321E+00   2.67839776E-01
    117  -5.35269164E+00  -5.08467232E+00   2.68019326E-01
    118  -5.36083640E+00  -5.09413155E+00   2.66704853E-01
    119  -5.36819783E+00  -5.10132101E+00   2.66876826E-01
    120  -5.37519793E+00  -5.11148500E+00   2.63712931E-01
    121  -5.38203924E+00  -5.12065501E+00   2.61384230E-01
    122  -5.38722718E+00  -5.12695536E+00   2.60271817E-01
    123  -5.39238128E+00  -5.13398494E+00   2.58396341E-01
    124  -5.39782167E+00  -5.14067040E+00   2.57151266E-01
    125  -5.40143306E+00  -5.14624669E+00   2.55186364E-01
    126  -5.40691186E+00  -5.15360778E+00   2.53304084E-01
    127  -5.41176615E+00  -5.15867407E+00   2.53092081E-01
    128  -5.41887187E+00  -5.16851070E+00   2.50361165E-01
    129  -5.42421878E+00  -5.17606650E+00   2.48152282E-01
    130  -5.42981430E+00  -5.18261607E+00   2.47198232E-01
    131  -5.43641830E+00  -5.19231383E+00   2.44104471E-01
    132  -5.44209839E+00  -5.20010780E+00   2.41990592E-01
    133  -5.44977441E+00  -5.21396048E+00   2.35813933E-01
    134  -5.45726932E+00  -5.22208445E+00   2.35184873E-01
    135  -5.46381585E+00  -5.22951685E+00   2.34299000E-01
    136  -5.47128692E+00  -5.24137519E+00   2.29911734E-01
    137  -5.47879104E+00  -5.25031630E+00   2.28474740E-01
    138  -5.48647271E+00  -5.26398606E+00   2.22486653E-01
