     diagonalizing the dynamical matrix ...

 q =       0.0000      0.0000      0.0000
 **************************************************************************
     freq (    1) =      -1.494360 [THz] =     -49.846489 [cm-1]
 (  0.000000   0.000000    -0.009261   0.000000    -0.000000   0.000000   )
 (  0.000000   0.000000    -0.009261   0.000000    -0.000000   0.000000   )
 ( -0.025569   0.000000    -0.031010   0.000000     0.000000   0.000000   )
 (  0.025569   0.000000    -0.031010   0.000000    -0.000000   0.000000   )
 ( -0.025569   0.000000    -0.031010   0.000000     0.000000   0.000000   )
 (  0.025569   0.000000    -0.031010   0.000000    -0.000000   0.000000   )
 (  0.000000   0.000000     0.263284   0.000000     0.000000   0.000000   )
 (  0.000000   0.000000     0.263284   0.000000     0.000000   0.000000   )
 (  0.000000   0.000000    -0.030002   0.000000     0.000000   0.000000   )
 (  0.000000   0.000000    -0.030002   0.000000     0.000000   0.000000   )
 ( -0.064948   0.000000    -0.126800   0.000000     0.000000   0.000000   )
 (  0.064947   0.000000    -0.126800   0.000000    -0.000000   0.000000   )
 ( -0.064948   
     Polarizability (A^3 units)
     multiply by 1.000000 for Clausius-Mossotti correction
         0.000000    0.000000    0.000000
         0.000000    0.000000    0.000000
         0.000000    0.000000    0.000000

     IR activities are in (D/A)^2/amu units

# mode   [cm-1]    [THz]      IR
  145   3055.64   91.6058    0.0000
  146   3056.04   91.6178    0.0000
  147   3077.48   92.2606    0.0000
  148   3077.94   92.2743    0.0000
  149   3079.35   92.3165    0.0000
  150   3079.58   92.3234    0.0000
 
     DYNMAT       :     20.65s CPU     21.01s WALL

 
   This run was terminated on:  11:49:18   5Sep2023            

=------------------------------------------------------------------------------=
   JOB DONE.
=------------------------------------------------------------------------------=
0.000000     0.049979   0.000000    -0.000557   0.000000   )
 (  0.008067   0.000000     0.049979   0.000000    -0.000557   0.000000   )
 ( -0.008067   0.000000     0.049979   0.000000     0.000557   0.000000   )
 (  0.008067   0.000000     0.049979   0.000000     0.000557   0.000000   )
 (  0.008067   0.000000    -0.049979   0.000000     0.000557   0.000000   )
 ( -0.008067   0.000000    -0.049979   0.000000     0.000557   0.000000   )
 ( -0.016580   0.000000     0.044297   0.000000     0.000000   0.000000   )
 (  0.016580   0.000000     0.044297   0.000000    -0.000000   0.000000   )
 (  0.016580   0.000000    -0.044297   0.000000    -0.000000   0.000000   )
 ( -0.016580   0.000000    -0.044297   0.000000     0.000000   0.000000   )
     freq (    3) =      -0.960055 [THz] =     -32.023999 [cm-1]
 ( -0.030940   0.000000    -0.000000   0.000000     0.000000   0.000000   )
 ( -0.030940   0.000000    -0.000000   0.000000     0.000000   0.000000   )
 (  0.053545   0.000000     0.010434   0.000000     0.000000   0.000000   )
 (  0.053545   0.000000    -0.010434   0.000000    -0.000000   0.000000   )
 (  0.053545   0.000000     0.010434   0.000000     0.000000   0.000000   )
 (  0.053545   0.000000    -0.010434   0.000000    -0.000000   0.000000   )
 ( -0.149906   0.000000     0.000000   0.000000     0.000000   0.000000   )
 ( -0.149906   0.000000     0.000000   0.000000     0.000000   0.000000   )
 ( -0.034781   0.000000    -0.000000   0.000000    -0.000000   0.000000   )
 ( -0.034781   0.000000    -0.000000   0.000000    -0.000000   0.000000   )
 (  0.134512   0.000000     0.070627   0.000000     0.000000   0.000000   )
 (  0.134512   0.000000    -0.070627   0.000000    -0.000000   0.000000   )
 (  0.134512   0.000000     0.070627   0.000000     0.000000   0.000000   )
 (  0.134512   0.000000    -0.070627   0.000000    -0.000000   0.000000   )
