# k =   0.750000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.53841064E+00  -7.31094705E+00   2.27463590E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.76317738E-01   8.47942434E-01  -1.28375303E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -5.93335324E-04  -7.09367644E-04  -1.16032320E-04
      2  -1.15660820E-03  -1.38950740E-03  -2.32899196E-04
      3  -1.78302881E-03  -2.09044039E-03  -3.07411586E-04
      4  -2.38801815E-03  -2.78815163E-03  -4.00133478E-04
      5  -5.61345220E-02  -3.80361524E-02   1.80983695E-02
      6  -1.00736897E-01  -8.23583885E-02   1.83785088E-02
      7  -1.05459337E-01  -1.99469285E-01  -9.40099480E-02
      8  -1.10847417E-01  -2.93253295E-01  -1.82405878E-01
      9  -1.13986730E-01  -4.20880363E-01  -3.06893633E-01
     10  -1.22381373E-01  -5.56401006E-01  -4.34019633E-01
     11  -1.25778956E-01  -6.66643936E-01  -5.40864979E-01
     12  -1.35993479E-01  -8.03185718E-01  -6.67192239E-01
     13  -1.47184889E-01  -8.06099301E-01  -6.58914412E-01
     14  -1.59768571E-01  -8.08732833E-01  -6.48964262E-01
     15  -1.60963305E-01  -8.09479541E-01  -6.48516236E-01
     16  -1.61997367E-01  -8.10230326E-01  -6.48232959E-01
     17  -2.86230533E-01  -9.30291955E-01  -6.44061422E-01
     18  -4.12428033E-01  -1.10175972E+00  -6.89331688E-01
     19  -4.43422447E-01  -1.10943600E+00  -6.66013552E-01
     20  -4.77566104E-01  -1.11723664E+00  -6.39670539E-01
     21  -5.18068195E-01  -1.13192131E+00  -6.13853118E-01
     22  -5.78331355E-01  -1.15905800E+00  -5.80726641E-01
     23  -7.65030480E-01  -1.17916415E+00  -4.14133667E-01
     24  -9.92434706E-01  -1.19784332E+00  -2.05408613E-01
     25  -1.03533733E+00  -1.20138947E+00  -1.66052144E-01
     26  -1.05537836E+00  -1.20329249E+00  -1.47914124E-01
     27  -1.06345966E+00  -1.20403606E+00  -1.40576408E-01
     28  -1.06772415E+00  -1.20451381E+00  -1.36789665E-01
     29  -1.06924497E+00  -1.20498144E+00  -1.35736475E-01
     30  -1.07072799E+00  -1.20541454E+00  -1.34686554E-01
     31  -1.07173078E+00  -1.20850566E+00  -1.36774876E-01
     32  -1.07255725E+00  -1.21115989E+00  -1.38602645E-01
     33  -1.07387942E+00  -1.21459115E+00  -1.40711726E-01
     34  -1.07492737E+00  -1.21756177E+00  -1.42634402E-01
     35  -1.07671461E+00  -1.21862429E+00  -1.41909683E-01
     36  -1.07793875E+00  -1.21912660E+00  -1.41187849E-01
     37  -1.12864684E+00  -1.30801083E+00  -1.79363987E-01
     38  -1.15713181E+00  -1.35506060E+00  -1.97928790E-01
     39  -1.22926629E+00  -1.47016819E+00  -2.40901897E-01
     40  -1.37581857E+00  -1.65072670E+00  -2.74908130E-01
     41  -1.42090907E+00  -1.69364275E+00  -2.72733673E-01
     42  -1.44414120E+00  -1.71417815E+00  -2.70036942E-01
     43  -1.44847291E+00  -1.71627270E+00  -2.67799793E-01
     44  -1.45069854E+00  -1.71672638E+00  -2.66027839E-01
     45  -1.45281073E+00  -1.72012933E+00  -2.67318600E-01
     46  -1.45456846E+00  -1.72340178E+00  -2.68833319E-01
     47  -1.46121886E+00  -1.72592532E+00  -2.64706463E-01
     48  -1.46584521E+00  -1.72807153E+00  -2.62226325E-01
     49  -1.46810902E+00  -1.72979721E+00  -2.61688193E-01
     50  -1.47064732E+00  -1.73216544E+00  -2.61518119E-01
     51  -1.47475599E+00  -1.73370316E+00  -2.58947177E-01
     52  -1.47898842E+00  -1.73513250E+00  -2.56144075E-01
     53  -1.48143170E+00  -1.73608379E+00  -2.54652090E-01
     54  -1.48280877E+00  -1.73765531E+00  -2.54846544E-01
     55  -1.48637888E+00  -1.74741478E+00  -2.61035894E-01
     56  -1.48836215E+00  -1.75389488E+00  -2.65532731E-01
     57  -1.49071336E+00  -1.75545976E+00  -2.64746397E-01
     58  -1.49212668E+00  -1.75801569E+00  -2.65889016E-01
     59  -1.57317230E+00  -2.02391829E+00  -4.50745993E-01
     60  -1.66849102E+00  -2.04755951E+00  -3.79068497E-01
     61  -1.90341920E+00  -2.08037704E+00  -1.76957834E-01
     62  -2.21671781E+00  -2.11797295E+00   9.87448609E-02
     63  -2.26807799E+00  -2.21259937E+00   5.54786185E-02
     64  -2.29540716E+00  -2.30514401E+00  -9.73684326E-03
     65  -2.31179338E+00  -2.32134308E+00  -9.54969548E-03
     66  -2.32441666E+00  -2.33883431E+00  -1.44176542E-02
     67  -2.33257287E+00  -2.39325144E+00  -6.06785714E-02
     68  -2.35503235E+00  -2.43395725E+00  -7.89249003E-02
     69  -2.37212901E+00  -2.44724485E+00  -7.51158496E-02
     70  -2.42597215E+00  -2.46057333E+00  -3.46011850E-02
     71  -2.50583138E+00  -2.47220323E+00   3.36281506E-02
     72  -2.59578493E+00  -2.48301015E+00   1.12774777E-01
     73  -2.64353498E+00  -2.48733818E+00   1.56196796E-01
     74  -2.66692043E+00  -2.50779810E+00   1.59122334E-01
     75  -2.68679891E+00  -2.54481979E+00   1.41979127E-01
     76  -2.70591503E+00  -2.56852305E+00   1.37391980E-01
     77  -2.72708456E+00  -2.58041561E+00   1.46668958E-01
     78  -2.75548841E+00  -2.63441520E+00   1.21073213E-01
     79  -2.78593288E+00  -2.78825617E+00  -2.32329005E-03
     80  -2.80959931E+00  -2.84452946E+00  -3.49301487E-02
     81  -3.33775523E+00  -2.89427352E+00   4.43481716E-01
     82  -4.73441860E+00  -2.94104415E+00   1.79337445E+00
     83  -4.78268266E+00  -4.56538099E+00   2.17301671E-01
     84  -4.84164293E+00  -5.01030591E+00  -1.68662972E-01
     85  -4.89306776E+00  -5.04052002E+00  -1.47452255E-01
     86  -4.93151390E+00  -5.05814152E+00  -1.26627626E-01
     87  -4.96237619E+00  -5.07503809E+00  -1.12661892E-01
     88  -5.00515601E+00  -5.10179342E+00  -9.66374092E-02
     89  -5.03193767E+00  -5.11269106E+00  -8.07533906E-02
     90  -5.05623645E+00  -5.12321696E+00  -6.69805098E-02
     91  -5.08761445E+00  -5.14800555E+00  -6.03911085E-02
     92  -5.10449323E+00  -5.15705799E+00  -5.25647576E-02
     93  -5.12158931E+00  -5.17266648E+00  -5.10771692E-02
     94  -5.13658053E+00  -5.18517237E+00  -4.85918476E-02
     95  -5.15245724E+00  -5.19343418E+00  -4.09769423E-02
     96  -5.16598395E+00  -5.20650979E+00  -4.05258386E-02
     97  -5.18774890E+00  -5.21471585E+00  -2.69669536E-02
     98  -5.20878882E+00  -5.22212200E+00  -1.33331779E-02
     99  -5.22188721E+00  -5.22731935E+00  -5.43213864E-03
    100  -5.23503332E+00  -5.23721624E+00  -2.18291898E-03
    101  -5.25422478E+00  -5.24517573E+00   9.04904397E-03
    102  -5.26698945E+00  -5.25412863E+00   1.28608142E-02
    103  -5.27963247E+00  -5.26075586E+00   1.88766130E-02
    104  -5.29306326E+00  -5.26785226E+00   2.52109934E-02
    105  -5.30394539E+00  -5.27501548E+00   2.89299056E-02
    106  -5.31442095E+00  -5.28132275E+00   3.30981940E-02
    107  -5.32771041E+00  -5.28962313E+00   3.80872842E-02
    108  -5.34063859E+00  -5.29727184E+00   4.33667511E-02
    109  -5.35672777E+00  -5.30160274E+00   5.51250291E-02
    110  -5.37435399E+00  -5.30735816E+00   6.69958322E-02
