# k =   0.250000  -0.000000  -0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.53884461E+00  -7.31094025E+00   2.27904361E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.76322792E-01   8.47958932E-01  -1.28363860E-01
#    Nb          CH(vbm)          CH(cbm)             diff
     90  -5.05683225E+00  -5.12318680E+00  -6.63545493E-02
     91  -5.08823638E+00  -5.14800713E+00  -5.97707488E-02
     92  -5.10506223E+00  -5.15705938E+00  -5.19971523E-02
     93  -5.12213551E+00  -5.17265281E+00  -5.05172994E-02
     94  -5.13710481E+00  -5.18514370E+00  -4.80388861E-02
     95  -5.15295935E+00  -5.19340943E+00  -4.04500804E-02
     96  -5.16645672E+00  -5.20648990E+00  -4.00331723E-02
     97  -5.18817483E+00  -5.21469106E+00  -2.65162321E-02
     98  -5.20918207E+00  -5.22209690E+00  -1.29148369E-02
     99  -5.22231388E+00  -5.22729210E+00  -4.97822505E-03
    100  -5.23548558E+00  -5.23719610E+00  -1.71051495E-03
    101  -5.25467483E+00  -5.24515551E+00   9.51932099E-03
    102  -5.26745742E+00  -5.25410151E+00   1.33559069E-02
    103  -5.28009898E+00  -5.26072395E+00   1.93750317E-02
    104  -5.29352532E+00  -5.26781685E+00   2.57084743E-02
    105  -5.30442067E+00  -5.27499782E+00   2.94228469E-02
    106  -5.31489670E+00  -5.28129957E+00   3.35971336E-02
    107  -5.32819651E+00  -5.28957359E+00   3.86229174E-02
    108  -5.34111337E+00  -5.29722810E+00   4.38852690E-02
    109  -5.35721756E+00  -5.30155849E+00   5.56590675E-02
    110  -5.37482546E+00  -5.30730978E+00   6.75156816E-02
    111  -5.39071717E+00  -5.31269618E+00   7.80209883E-02
    112  -5.40118202E+00  -5.31959933E+00   8.15826913E-02
    113  -5.40959240E+00  -5.32460971E+00   8.49826914E-02
    114  -5.41782369E+00  -5.33121361E+00   8.66100853E-02
    115  -5.42653076E+00  -5.33694048E+00   8.95902865E-02
    116  -5.43415958E+00  -5.34342312E+00   9.07364519E-02
    117  -5.44138779E+00  -5.35048658E+00   9.09012087E-02
    118  -5.44850242E+00  -5.35758985E+00   9.09125666E-02
    119  -5.45606224E+00  -5.36270860E+00   9.33536403E-02
    120  -5.46243163E+00  -5.37051252E+00   9.19191122E-02
    121  -5.46931468E+00  -5.37660265E+00   9.27120321E-02
    122  -5.47432482E+00  -5.38101782E+00   9.33069938E-02
    123  -5.47864996E+00  -5.38718273E+00   9.14672338E-02
    124  -5.48402931E+00  -5.39140296E+00   9.26263522E-02
    125  -5.48743810E+00  -5.39640391E+00   9.10341929E-02
    126  -5.49416916E+00  -5.40090771E+00   9.32614529E-02
    127  -5.49875857E+00  -5.40553687E+00   9.32217059E-02
    128  -5.50751556E+00  -5.41061472E+00   9.69008468E-02
    129  -5.51310837E+00  -5.41639561E+00   9.67127528E-02
    130  -5.51919115E+00  -5.42054244E+00   9.86487080E-02
    131  -5.52689744E+00  -5.42653599E+00   1.00361450E-01
    132  -5.53266169E+00  -5.43184643E+00   1.00815259E-01
    133  -5.54066542E+00  -5.43910579E+00   1.01559629E-01
    134  -5.54866430E+00  -5.44488424E+00   1.03780061E-01
    135  -5.55584578E+00  -5.45081943E+00   1.05026353E-01
    136  -5.56439333E+00  -5.45834974E+00   1.06043588E-01
    137  -5.57324229E+00  -5.46451294E+00   1.08729351E-01
    138  -5.58253289E+00  -5.47422854E+00   1.08304346E-01
    139  -5.59147680E+00  -5.48434452E+00   1.07132274E-01
    140  -5.60129453E+00  -5.49405551E+00   1.07239018E-01
    141  -5.61186150E+00  -5.50599262E+00   1.05868882E-01
    142  -5.62054292E+00  -5.51401778E+00   1.06525139E-01
    143  -5.63010899E+00  -5.53004416E+00   1.00064828E-01
    144  -5.63989526E+00  -5.54101287E+00   9.88823921E-02
    145  -5.64825846E+00  -5.55616413E+00   9.20943336E-02
    146  -5.65769788E+00  -5.56786679E+00   8.98310893E-02
    147  -5.66519529E+00  -5.57876111E+00   8.64341822E-02
    148  -5.67220494E+00  -5.59360431E+00   7.86006338E-02
    149  -5.68067280E+00  -5.60388039E+00   7.67924034E-02
    150  -5.68867602E+00  -5.61205478E+00   7.66212379E-02
    151  -5.69690124E+00  -5.62112312E+00   7.57781167E-02
    152  -5.70573719E+00  -5.63698211E+00   6.87550767E-02
    153  -5.71380394E+00  -5.64955711E+00   6.42468279E-02
    154  -5.72216933E+00  -5.66292165E+00   5.92476818E-02
    155  -5.73067938E+00  -5.67578079E+00   5.48985944E-02
    156  -5.73954459E+00  -5.68435546E+00   5.51891229E-02
    157  -5.74925347E+00  -5.69623352E+00   5.30199489E-02
    158  -5.75752092E+00  -5.70380932E+00   5.37116005E-02
    159  -5.76596531E+00  -5.71195754E+00   5.40077697E-02
    160  -5.77784532E+00  -5.72324162E+00   5.46036978E-02
    161  -5.78524524E+00  -5.73460236E+00   5.06428818E-02
    162  -5.79370038E+00  -5.75160820E+00   4.20921778E-02
    163  -5.80240359E+00  -5.76190300E+00   4.05005864E-02
    164  -5.81039354E+00  -5.76980200E+00   4.05915403E-02
    165  -5.81808711E+00  -5.77795361E+00   4.01334999E-02
    166  -5.82668831E+00  -5.78772695E+00   3.89613572E-02
    167  -5.83415126E+00  -5.79785659E+00   3.62946720E-02
    168  -5.84110691E+00  -5.80604206E+00   3.50648503E-02
    169  -5.84924057E+00  -5.81232075E+00   3.69198240E-02
    170  -5.85645258E+00  -5.81814197E+00   3.83106097E-02
    171  -5.86505798E+00  -5.82361969E+00   4.14382897E-02
    172  -5.87314465E+00  -5.83182051E+00   4.13241393E-02
    173  -5.88048976E+00  -5.83949151E+00   4.09982547E-02
    174  -5.88828585E+00  -5.84561295E+00   4.26728991E-02
    175  -5.89586951E+00  -5.85342826E+00   4.24412550E-02
    176  -5.90408983E+00  -5.86068401E+00   4.34058225E-02
    177  -5.91177043E+00  -5.86783062E+00   4.39398120E-02
    178  -5.91808268E+00  -5.87452666E+00   4.35560235E-02
    179  -5.92529657E+00  -5.88230822E+00   4.29883523E-02
    180  -5.93155130E+00  -5.88783948E+00   4.37118243E-02
    181  -5.93968288E+00  -5.89665942E+00   4.30234616E-02
    182  -5.94740661E+00  -5.90354783E+00   4.38587742E-02
    183  -5.95428575E+00  -5.91220550E+00   4.20802418E-02
    184  -5.96153273E+00  -5.91815192E+00   4.33808055E-02
    185  -5.97023211E+00  -5.92512292E+00   4.51091853E-02
    186  -5.97716771E+00  -5.93031185E+00   4.68558600E-02
    187  -5.98401925E+00  -5.93716437E+00   4.68548745E-02
    188  -5.99047687E+00  -5.94206063E+00   4.84162479E-02
    189  -5.99774509E+00  -5.94844008E+00   4.93050073E-02
    190  -6.00558512E+00  -5.95634074E+00   4.92443821E-02
    191  -6.01255811E+00  -5.96404878E+00   4.85093299E-02
    192  -6.02066853E+00  -5.97028008E+00   5.03884575E-02
    193  -6.02748501E+00  -5.97742314E+00   5.00618752E-02
    194  -6.03615279E+00  -5.98649978E+00   4.96530105E-02
    195  -6.04298628E+00  -5.99314567E+00   4.98406055E-02
    196  -6.05098012E+00  -5.99986089E+00   5.11192278E-02
    197  -6.05855264E+00  -6.00668169E+00   5.18709546E-02
    198  -6.06889014E+00  -6.01497970E+00   5.39104395E-02
    199  -6.07733504E+00  -6.02147343E+00   5.58616137E-02
    200  -6.08417229E+00  -6.02787974E+00   5.62925534E-02
    201  -6.09294993E+00  -6.03735586E+00   5.55940767E-02
